name,Postcode,Description,Grid Reference,X (easting),Y (northing),Latitude,Longitude
GSTT BRC,EC1V 2PD,EC1V 2PD,TQ 32602 82655,532602,182655,51.527246,-0.089888688
Imperial BRC,W2 1NY,W2 1NY,TQ 26781 81380,526781,181380,51.517123,-0.1742119
UCLH BRC,W1T 7HA,W1T 7HA,TQ 29417 82068,529417,182068,51.522709,-0.13599056
Birmingham CRF,B15 2TH,B15 2TH,SP 04427 83926,404427,283926,52.453272,-1.9362835
Coventry & Warwickshire CRF,CV2 2DX,CV2 2DX,SP 37942 80527,437942,280527,52.421424,-1.4435031
Exeter CRF,EX2 5DW,EX2 5DW,SX 93730 91870,293730,91870,50.716712,-3.5066801
Sheffield CRF,S10 2JF,S10 2JF,SK 33794 86966,433794,386966,53.378472,-1.4934651
Barts BRC,EC1M 6BQ,EC1M 6BQ,TQ 31996 81979,531996,181979,51.521313,-0.098872246
Leicester BRC,LE3 9QP,LE3 9QP,SK 55615 06533,455615,306533,52.653683,-1.1793061
Oxford BRC,OX4 2PG,OX4 2PG,SP 56557 03958,456557,203958,51.731491,-1.1824698
Newcastle CRF,NE1 7RU,NE1 7RU,NZ 24693 65147,424693,565147,54.98032,-1.6157134
Manchester CRF,M13 9WL,M13 9WL,SJ 85178 96099,385178,396099,53.461426,-2.2247084
