,code,post_code,x,y
0,A81001,TS18 1HU,,
1,A81002,TS18 2AW,,
2,A81003,TS26 8DB,,
3,A81004,TS5 8SB,,
4,A81005,TS14 7DJ,,
5,A81006,TS18 2AT,,
6,A81007,TS24 7PW,,
7,A81008,TS6 6TD,,
8,A81009,TS5 6HF,,
9,A81011,TS24 7PW,,
10,A81012,TS3 6AL,,
11,A81013,TS12 2FF,,
12,A81014,TS23 2LA,,
13,A81015,TS10 1TZ,,
14,A81016,TS1 3QY,,
15,A81017,TS17 0EE,,
16,A81018,TS10 4NW,,
17,A81019,TS3 7RL,,
18,A81020,TS4 3BU,,
19,A81021,TS6 6TD,,
20,A81022,TS12 2TG,,
21,A81023,TS1 2NX,,
22,A81025,TS18 1HU,,
23,A81026,TS5 6HA,,
24,A81027,TS15 9DD,,
25,A81029,TS1 2NX,,
26,A81030,TS1 3RY,,
27,A81031,TS24 7PW,,
28,A81032,TS14 7DJ,,
29,A81033,TS3 6AL,,
30,A81034,TS17 0EE,,
31,A81035,TS1 3RX,,
32,A81036,TS20 2UZ,,
33,A81037,TS1 2NX,,
34,A81038,TS3 6AL,,
35,A81039,TS16 9EA,,
36,A81040,TS23 2DG,,
37,A81041,TS24 9DN,,
38,A81042,TS6 9QG,,
39,A81043,TS6 0HA,,
40,A81044,TS25 1QU,,
41,A81045,TS10 1SR,,
42,A81046,TS18 1YE,,
43,A81047,TS11 6BW,,
44,A81048,TS11 7BL,,
45,A81049,TS3 6AL,,
46,A81051,TS5 5NN,,
47,A81052,TS10 4NW,,
48,A81053,TS13 4HW,,
49,A81054,TS10 1UA,,
50,A81056,TS23 2JW,,
51,A81057,TS23 2LS,,
52,A81058,TS8 0TL,,
53,A81060,TS26 8DB,,
54,A81063,TS24 0NZ,,
55,A81064,TS1 2NX,,
56,A81065,TS6 6TD,,
57,A81066,TS21 1JS,,
58,A81067,TS18 2BP,,
59,A81069,TS10 4NW,,
60,A81070,TS25 3DQ,,
61,A81602,TS23 2DG,,
62,A81605,TS10 3LA,,
63,A81608,TS17 6PG,,
64,A81609,TS18 2AT,,
65,A81610,TS23 2DG,,
66,A81611,TS8 0TL,,
67,A81612,TS25 1AX,,
68,A81613,TS26 8DB,,
69,A81618,TS12 1BJ,,
70,A81621,TS3 9NB,,
71,A81622,TS26 8DF,,
72,A81623,TS18 2EP,,
73,A81629,TS18 2AP,,
74,A81630,TS5 4EQ,,
75,A81631,TS24 9LJ,,
76,A81632,TS18 1HU,,
77,A81633,TS1 5EF,,
78,A81634,TS18 2EP,,
79,A82003,LA12 7BT,,
80,A82004,CA9 3QX,,
81,A82005,LA22 9BP,,
82,A82006,CA16 6QR,,
83,A82007,LA14 1LF,,
84,A82008,LA14 5ES,,
85,A82009,LA13 9SH,,
86,A82010,LA14 5JY,,
87,A82011,LA14 5SL,,
88,A82012,CA8 1NL,,
89,A82013,CA17 4RB,,
90,A82014,CA7 8DS,,
91,A82015,CA1 1EB,,
92,A82016,CA1 1DG,,
93,A82017,CA1 1ED,,
94,A82018,CA1 1BP,,
95,A82019,CA1 2HE,,
96,A82020,CA2 7AJ,,
97,A82021,CA13 9HT,,
98,A82022,CA5 7PZ,,
99,A82023,CA14 5UR,,
100,A82024,CA20 1PN,,
101,A82025,LA9 4JE,,
102,A82026,LA9 7HR,,
103,A82027,LA9 6SA,,
104,A82028,CA12 4DB,,
105,A82029,CA7 5JH,,
106,A82030,LA6 2HQ,,
107,A82031,CA10 3LW,,
108,A82032,CA15 8EL,,
109,A82033,LA18 4BY,,
110,A82034,LA7 7PW,,
111,A82035,CA11 8HW,,
112,A82036,CA11 8HW,,
113,A82037,CA7 4AH,,
114,A82038,CA10 1RW,,
115,A82039,LA15 8AB,,
116,A82040,CA28 7PD,,
117,A82041,CA28 7RG,,
118,A82044,CA28 7QE,,
119,A82045,CA7 9QD,,
120,A82046,LA23 2EG,,
121,A82047,CA14 2DL,,
122,A82048,CA14 3FT,,
123,A82049,CA14 2ED,,
124,A82050,CA14 2AJ,,
125,A82052,CA3 9JZ,,
126,A82053,LA11 7DJ,,
127,A82055,CA7 3HH,,
128,A82057,CA13 9HT,,
129,A82058,CA28 7BA,,
130,A82060,CA28 7PA,,
131,A82062,LA14 2LR,,
132,A82063,CA12 5JY,,
133,A82064,CA22 2DB,,
134,A82065,LA11 7DJ,,
135,A82068,LA12 7BT,,
136,A82070,LA23 1BA,,
137,A82071,LA14 3HY,,
138,A82072,LA13 9RX,,
139,A82074,LA5 0DP,,
140,A82075,CA28 7BU,,
141,A82077,LA13 9QY,,
142,A82608,LA10 5DL,,
143,A82613,LA21 8ER,,
144,A82617,CA10 1DQ,,
145,A82619,LA15 8AF,,
146,A82620,CA11 0PD,,
147,A82621,LA16 7JP,,
148,A82623,CA14 2RW,,
149,A82629,LA14 5SL,,
150,A82631,CA4 0HP,,
151,A82635,CA1 1LB,,
152,A82641,CA1 1LB,,
153,A82642,LA22 0NU,,
154,A82646,CA6 5XA,,
155,A82647,LA11 6PH,,
156,A82650,LA12 8QF,,
157,A82651,LA17 7TE,,
158,A82654,CA1 1LB,,
159,A83001,DL16 6QA,,
160,A83003,DL15 0EQ,,
161,A83004,SR7 8LF,,
162,A83005,DL1 3RT,,
163,A83006,DL3 6HZ,,
164,A83007,TS27 4LQ,,
165,A83008,DL4 2HP,,
166,A83009,DH3 3SL,,
167,A83010,DL3 9JP,,
168,A83011,DH1 1QW,,
169,A83012,SR8 5TW,,
170,A83013,DL1 4YL,,
171,A83014,DH1 2QW,,
172,A83015,DL14 6AB,,
173,A83016,DH9 8AD,,
174,A83017,DH6 3HW,,
175,A83018,DH8 5YA,,
176,A83019,DH6 2JL,,
177,A83020,DL15 9HU,,
178,A83021,DL14 6RP,,
179,A83022,DH7 8NH,,
180,A83023,DH9 0AB,,
181,A83024,DH4 6RQ,,
182,A83025,DL14 7EJ,,
183,A83026,DH7 6JW,,
184,A83027,DH6 4DH,,
185,A83028,DH3 3QD,,
186,A83029,DH3 4LE,,
187,A83030,DH7 7DG,,
188,A83031,DL3 8SQ,,
189,A83032,DL13 5AF,,
190,A83033,DH2 1HS,,
191,A83034,DL3 7JR,,
192,A83035,DL13 2XD,,
193,A83036,DH1 5BH,,
194,A83037,DL5 5LH,,
195,A83038,NE16 6HU,,
196,A83040,DL1 5JN,,
197,A83041,SR7 9AB,,
198,A83042,TS28 5PZ,,
199,A83043,DL12 0QE,,
200,A83044,SR8 4LD,,
201,A83045,DL17 8JJ,,
202,A83046,DL12 8HT,,
203,A83047,DL3 0PD,,
204,A83048,DL2 2DS,,
205,A83049,DH8 0BW,,
206,A83050,DH2 3DJ,,
207,A83051,SR7 7JE,,
208,A83052,DL16 6ED,,
209,A83054,TS21 3BN,,
210,A83055,DH1 2UW,,
211,A83057,TS28 5PZ,,
212,A83060,DL13 5NX,,
213,A83061,DL2 3BE,,
214,A83066,DL5 4SE,,
215,A83068,SR8 4PF,,
216,A83070,DL2 1BY,,
217,A83071,SR7 7JE,,
218,A83072,DH7 0LP,,
219,A83073,DH9 7XT,,
220,A83074,DL5 5NH,,
221,A83075,SR7 8LF,,
222,A83076,DH9 9DA,,
223,A83603,DL16 6BQ,,
224,A83610,TS28 5PZ,,
225,A83616,DH6 2LQ,,
226,A83617,DH7 9YT,,
227,A83618,NE17 7SB,,
228,A83619,DH6 2LT,,
229,A83622,DH7 0BD,,
230,A83626,DL14 9SU,,
231,A83627,DH6 2TH,,
232,A83630,DH7 8SJ,,
233,A83632,DH9 6AN,,
234,A83634,DL17 9LH,,
235,A83635,DH6 5AL,,
236,A83636,DH8 6DP,,
237,A83637,DH2 2NJ,,
238,A83638,DL4 1DU,,
239,A83641,DL1 5LW,,
240,A83642,DH1 3BQ,,
241,A83643,DL15 4SB,,
242,A83644,DH9 7TD,,
243,A83645,DH8 5RL,,
244,A84002,NE65 7UW,,
245,A84003,NE63 9UT,,
246,A84005,NE22 6JX,,
247,A84006,NE66 2NL,,
248,A84007,NE20 9SD,,
249,A84008,NE70 7ER,,
250,A84009,NE24 1HD,,
251,A84011,NE20 9SD,,
252,A84013,NE22 7DU,,
253,A84014,NE24 1DX,,
254,A84015,NE63 0XX,,
255,A84016,NE42 5PW,,
256,A84018,NE45 5LG,,
257,A84020,NE62 5RA,,
258,A84021,NE66 2NR,,
259,A84022,NE65 0HD,,
260,A84024,NE46 1QJ,,
261,A84025,NE23 6QN,,
262,A84026,TD15 1LL,,
263,A84027,NE48 2HE,,
264,A84028,NE63 0NG,,
265,A84029,NE61 5LX,,
266,A84030,NE23 6US,,
267,A84031,NE61 1JX,,
268,A84032,NE71 6BL,,
269,A84033,NE46 1QJ,,
270,A84034,NE49 9AP,,
271,A84035,NE41 8DH,,
272,A84036,NE61 1BJ,,
273,A84037,NE23 7EF,,
274,A84038,NE23 6QN,,
275,A84039,NE61 1JX,,
276,A84040,NE46 4BU,,
277,A84042,NE61 4EG,,
278,A84043,NE23 1XZ,,
279,A84044,TD15 2HB,,
280,A84045,NE47 6LA,,
281,A84047,NE43 7LL,,
282,A84048,NE24 1HD,,
283,A84604,NE71 6BL,,
284,A84609,NE65 9PR,,
285,A84613,NE65 7DG,,
286,A84614,NE42 5HR,,
287,A84618,NE47 9LG,,
288,A84619,NE25 0BW,,
289,A85001,NE9 5EY,,
290,A85002,NE8 2XB,,
291,A85003,NE39 1PW,,
292,A85004,NE10 8PH,,
293,A85005,NE8 1RQ,,
294,A85006,NE11 9AD,,
295,A85007,NE9 5XY,,
296,A85008,DH3 2QT,,
297,A85009,NE10 9QG,,
298,A85010,NE21 5AE,,
299,A85011,NE10 9QG,,
300,A85012,NE8 1HR,,
301,A85013,NE8 1AD,,
302,A85014,NE40 4US,,
303,A85015,NE9 7AD,,
304,A85016,NE9 7AD,,
305,A85017,NE8 4DP,,
306,A85018,NE21 4RD,,
307,A85019,NE8 1NB,,
308,A85020,NE16 4PD,,
309,A85021,NE8 2UR,,
310,A85023,NE8 2PQ,,
311,A85024,NE17 7BU,,
312,A85025,NE8 4QS,,
313,A85026,NE9 6YS,,
314,A85601,DH3 1AX,,
315,A85605,NE40 3NT,,
316,A85609,NE8 4QR,,
317,A85611,NE10 0RR,,
318,A85614,NE8 1AD,,
319,A85616,NE21 4RD,,
320,A85617,NE16 5LP,,
321,A85619,NE9 5UR,,
322,A85620,NE40 3LT,,
323,A85621,NE9 6SX,,
324,A86003,NE1 8DQ,,
325,A86004,NE4 8AY,,
326,A86005,NE12 8LS,,
327,A86006,NE3 1NB,,
328,A86007,NE2 1JQ,,
329,A86008,NE3 2PE,,
330,A86009,NE6 1SG,,
331,A86010,NE6 5SL,,
332,A86011,NE6 3BS,,
333,A86012,NE4 9QB,,
334,A86013,NE5 2QW,,
335,A86015,NE2 2AH,,
336,A86016,NE7 7XX,,
337,A86017,NE4 7JT,,
338,A86018,NE3 1NU,,
339,A86020,NE2 3LD,,
340,A86021,NE4 8QB,,
341,A86022,NE5 1LJ,,
342,A86023,NE6 4QD,,
343,A86024,NE6 1SA,,
344,A86025,NE5 2LH,,
345,A86026,NE15 9PA,,
346,A86027,NE1 7XR,,
347,A86028,NE3 1DQ,,
348,A86029,NE6 1SG,,
349,A86030,NE15 6TQ,,
350,A86031,NE4 9XD,,
351,A86033,NE3 5NF,,
352,A86035,NE3 5JP,,
353,A86036,NE3 1TX,,
354,A86037,NE4 6SH,,
355,A86038,NE15 8LX,,
356,A86040,NE6 2NN,,
357,A86041,NE7 7TD,,
358,A86601,NE5 2UY,,
359,A87002,NE29 0HQ,,
360,A87003,NE28 6RZ,,
361,A87004,NE29 0SF,,
362,A87005,NE26 2ND,,
363,A87006,NE26 1NA,,
364,A87007,NE12 9BQ,,
365,A87008,NE26 3LW,,
366,A87009,NE29 0HT,,
367,A87011,NE25 9XJ,,
368,A87012,NE13 6LN,,
369,A87013,NE28 0AD,,
370,A87014,NE27 0HJ,,
371,A87015,NE29 0SF,,
372,A87016,NE28 6BB,,
373,A87017,NE13 6JJ,,
374,A87019,NE29 0DZ,,
375,A87020,NE25 9PH,,
376,A87022,NE27 0HJ,,
377,A87023,NE27 0HJ,,
378,A87027,NE28 0PP,,
379,A87029,NE28 7LP,,
380,A87030,NE29 6HT,,
381,A87600,NE26 1DU,,
382,A87612,NE12 6HS,,
383,A87615,NE12 6HS,,
384,A88001,NE31 1NU,,
385,A88002,NE33 4QY,,
386,A88003,NE34 6RE,,
387,A88004,NE32 5SE,,
388,A88005,NE34 9BP,,
389,A88006,NE34 0BX,,
390,A88007,NE33 4DX,,
391,A88008,NE33 5DU,,
392,A88009,NE35 9AN,,
393,A88010,NE32 5AG,,
394,A88011,NE33 4JP,,
395,A88012,NE31 2SP,,
396,A88013,NE34 8PS,,
397,A88014,NE33 4JP,,
398,A88015,NE33 5DU,,
399,A88016,NE35 9AN,,
400,A88020,NE33 2PG,,
401,A88022,NE31 1NU,,
402,A88023,SR6 7EE,,
403,A88024,NE32 3JN,,
404,A88025,NE32 3UX,,
405,A88601,NE33 4EG,,
406,A88603,NE31 1NU,,
407,A88608,NE33 3ET,,
408,A88611,NE33 4JP,,
409,A88613,NE32 3UX,,
410,A88614,NE33 2PG,,
411,A89001,SR2 8AD,,
412,A89002,SR1 2HJ,,
413,A89003,NE38 7NQ,,
414,A89004,DH5 9EZ,,
415,A89005,SR2 8AX,,
416,A89006,SR4 7XF,,
417,A89007,SR4 7XF,,
418,A89008,SR5 5PS,,
419,A89009,DH4 4LE,,
420,A89010,NE37 2PU,,
421,A89011,SR3 2AN,,
422,A89012,NE38 7NQ,,
423,A89013,SR1 2QB,,
424,A89014,SR6 0AB,,
425,A89015,SR6 8DZ,,
426,A89016,SR6 0QQ,,
427,A89017,SR4 7AF,,
428,A89018,SR2 8JG,,
429,A89019,SR5 2LT,,
430,A89020,SR4 6QE,,
431,A89021,DH4 5EQ,,
432,A89022,NE37 2PU,,
433,A89023,DH4 4DN,,
434,A89024,SR3 4HG,,
435,A89025,NE38 7NQ,,
436,A89026,NE37 2PU,,
437,A89027,SR3 4HG,,
438,A89028,DH4 4RB,,
439,A89029,SR3 1RN,,
440,A89030,DH4 4RW,,
441,A89031,SR4 7XF,,
442,A89032,SR3 2AN,,
443,A89034,SR2 7BA,,
444,A89035,SR2 0RX,,
445,A89036,SR5 3EX,,
446,A89038,NE38 8JF,,
447,A89040,SR6 0AB,,
448,A89041,SR3 4BY,,
449,A89042,SR3 2AW,,
450,A89603,SR5 2LT,,
451,A89604,SR5 2LT,,
452,A89610,SR2 0RY,,
453,A89611,SR2 7PF,,
454,A89612,SR1 1XW,,
455,A89614,SR4 0LS,,
456,A89616,NE38 9EH,,
457,A89617,NE38 9AB,,
458,A89618,SR6 0AB,,
459,A89620,NE37 2PU,,
