Postcode	Description	Grid Reference	X (easting)	Y (northing)	Latitude	Longitude
TS18 1HU	TS18 1HU	NZ 44139 18708	444139	518708	54.561687	-1.3189383
TS18 2AW	TS18 2AW	NZ 44455 19527	444455	519527	54.569019	-1.3139285
TS26 8DB	TS26 8DB	NZ 50538 32513	450538	532513	54.68514	-1.2176163
TS5 8SB	TS5 8SB	NZ 47840 16124	447840	516124	54.538132	-1.2621293
TS14 7DJ	TS14 7DJ	NZ 61222 15669	461222	515669	54.532606	-1.0554281
TS18 2AT	TS18 2AT	NZ 44479 19480	444479	519480	54.568595	-1.3135644
TS24 7PW	TS24 7PW	NZ 50765 32203	450765	532203	54.682332	-1.2141494
TS6 6TD	TS6 6TD	NZ 53913 19878	453913	519878	54.571256	-1.1675929
TS5 6HF	TS5 6HF	NZ 49131 18827	449131	518827	54.562298	-1.2417282
TS24 7PW	TS24 7PW	NZ 50765 32203	450765	532203	54.682332	-1.2141494
TS3 6AL	TS3 6AL	NZ 50768 19893	450768	519893	54.571716	-1.2162317
TS12 2FF	TS12 2FF	NZ 68872 19413	468872	519413	54.565266	-0.93635674
TS23 2LA	TS23 2LA	NZ 45648 23909	445648	523909	54.608291	-1.2947982
TS10 1TZ	TS10 1TZ	NZ 59922 24964	459922	524964	54.616282	-1.0736227
TS1 3QY	TS1 3QY	NZ 49223 19266	449223	519266	54.566234	-1.2402322
TS17 0EE	TS17 0EE	NZ 45898 16098	445898	516098	54.538077	-1.292145
TS10 4NW	TS10 4NW	NZ 60205 23246	460205	523246	54.600811	-1.0695931
TS3 7RL	TS3 7RL	NZ 51547 18705	451547	518705	54.560962	-1.2043912
TS4 3BU	TS4 3BU	NZ 50526 17827	450526	517827	54.553175	-1.2203288
TS6 6TD	TS6 6TD	NZ 53913 19878	453913	519878	54.571256	-1.1675929
TS12 2TG	TS12 2TG	NZ 66004 19132	466004	519132	54.563123	-0.98076752
TS1 2NX	TS1 2NX	NZ 49453 20285	449453	520285	54.575368	-1.2365044
TS18 1HU	TS18 1HU	NZ 44139 18708	444139	518708	54.561687	-1.3189383
TS5 6HA	TS5 6HA	NZ 49139 18943	449139	518943	54.563339	-1.2415851
TS15 9DD	TS15 9DD	NZ 41812 12386	441812	512386	54.505073	-1.3558158
TS1 2NX	TS1 2NX	NZ 49453 20285	449453	520285	54.575368	-1.2365044
TS1 3RY	TS1 3RY	NZ 50121 19907	450121	519907	54.571906	-1.2262361
TS24 7PW	TS24 7PW	NZ 50765 32203	450765	532203	54.682332	-1.2141494
TS14 7DJ	TS14 7DJ	NZ 61222 15669	461222	515669	54.532606	-1.0554281
TS3 6AL	TS3 6AL	NZ 50768 19893	450768	519893	54.571716	-1.2162317
TS17 0EE	TS17 0EE	NZ 45898 16098	445898	516098	54.538077	-1.292145
TS1 3RX	TS1 3RX	NZ 50121 19907	450121	519907	54.571906	-1.2262361
TS20 2UZ	TS20 2UZ	NZ 44768 21724	444768	521724	54.588734	-1.3087537
TS1 2NX	TS1 2NX	NZ 49453 20285	449453	520285	54.575368	-1.2365044
TS3 6AL	TS3 6AL	NZ 50768 19893	450768	519893	54.571716	-1.2162317
TS16 9EA	TS16 9EA	NZ 42296 14059	442296	514059	54.520067	-1.3481027
TS23 2DG	TS23 2DG	NZ 45811 24293	445811	524293	54.611726	-1.2922151
TS24 9DN	TS24 9DN	NZ 50135 34625	450135	534625	54.704158	-1.2235044
TS6 9QG	TS6 9QG	NZ 53980 19739	453980	519739	54.57	-1.1665822
TS6 0HA	TS6 0HA	NZ 54471 18342	454471	518342	54.557394	-1.1592468
TS25 1QU	TS25 1QU	NZ 51009 31211	451009	531211	54.673393	-1.2105382
TS10 1SR	TS10 1SR	NZ 59997 25094	459997	525094	54.617441	-1.0724349
TS18 1YE	TS18 1YE	NZ 43994 18674	443994	518674	54.561394	-1.3211855
TS11 6BW	TS11 6BW	NZ 63352 22399	463352	522399	54.592817	-1.0210705
TS11 7BL	TS11 7BL	NZ 63656 22279	463656	522279	54.5917	-1.0163925
TS3 6AL	TS3 6AL	NZ 50768 19893	450768	519893	54.571716	-1.2162317
TS5 5NN	TS5 5NN	NZ 48458 17913	448458	517913	54.554149	-1.252285
TS10 4NW	TS10 4NW	NZ 60205 23246	460205	523246	54.600811	-1.0695931
TS13 4HW	TS13 4HW	NZ 72097 18199	472097	518199	54.55391	-0.88678701
TS10 1UA	TS10 1UA	NZ 59922 24964	459922	524964	54.616282	-1.0736227
TS23 2JW	TS23 2JW	NZ 46131 24037	446131	524037	54.609397	-1.287301
TS23 2LS	TS23 2LS	NZ 46040 23709	446040	523709	54.606458	-1.2887612
TS8 0TL	TS8 0TL	NZ 50986 14675	450986	514675	54.524805	-1.2137619
