practice_code,ccg,post_code,year
C82001,LLR,LE8 0LG,2015
C82002,LLR,LE8 5QJ,2015
C82003,LLR,LE4 3JF,2016
C82005,LLR,LE3 9ED,2018
C82008,LLR,LE3 8NF,2013
C82009,LLR,LE16 9BX,2014
C82010,LLR,LE15 6NT,2014
C82011,LLR,LE11 1DQ,2014
C82012,LLR,LE67 6JP,2014
C82013,LLR,LE18 2EW,2015
C82014,LLR,LE65 2LT,2018
C82016,LLR,LE14 4PA,2014
C82017,LLR,DE12 7HR,2017
C82018,LLR,LE4 0JF,2013
C82019,LLR,LE2 9BU,2012
C82020,LLR,LE2 7HX,2013
C82021,LLR,LE2 5AA,2015
C82024,LLR,LE5 3HX,2013
C82025,LLR,LE17 4EB,2014
C82026,LLR,LE11 1NQ,2014
C82027,LLR,LE9 4LJ,2017
C82028,LLR,LE67 9WU,2013
C82029,LLR,LE5 2NL,2012
C82030,LLR,LE5 6LP,2012
C82031,LLR,LE2 0AS,2013
C82032,LLR,LE7 7AZ,2016
C82033,LLR,LE5 0PR,2014
C82034,LLR,LE12 8BP,2016
C82036,LLR,LE8 0LN,2015
C82037,LLR,LE5 5FD,2013
C82038,LLR,LE13 1NX,2014
C82039,LLR,LE3 2JN,2015
C82041,LLR,LE11 5DX,2016
C82042,LLR,LE7 2EQ,2015
C82044,LLR,LE15 8PR,2014
C82045,LLR,LE67 3FA,2014
C82046,LLR,LE2 6UL,2013
C82047,LLR,LE10 1DS,2014
C82048,LLR,LE2 5PP,2015
C82050,LLR,LE67 4DR,2016
C82051,LLR,LE9 9PZ,2016
C82052,LLR,LE67 5HX,2014
C82053,LLR,LE3 1HN,2012
C82055,LLR,LE19 2DU,2015
C82056,LLR,LE3 8GS,2015
C82058,LLR,LE2 6TD,2012
C82059,LLR,LE3 0QR,2013
C82060,LLR,LE5 5AY,2013
C82061,LLR,LE9 8HR,2018
C82063,LLR,LE5 4BP,2017
C82064,LLR,LE12 9DF,2014
C82065,LLR,LE2 1QH,2013
C82066,LLR,LE3 3FN,2015
C82067,LLR,LE2 4PE,2014
C82070,LLR,LE11 1NH,2013
C82071,LLR,LE18 2EW,2015
C82072,LLR,LE67 4DE,2016
C82073,LLR,LE3 1BL,2013
C82077,LLR,LE15 9EG,2015
C82078,LLR,LE7 2EQ,2014
C82079,LLR,LE18 4SE,2015
C82080,LLR,LE2 0TA,2013
C82086,LLR,LE3 5RR,2012
C82088,LLR,LE2 1QA,2014
C82091,LLR,LE4 4EE,2017
C82092,LLR,LE2 8SF,2013
C82093,LLR,LE9 6RG,2014
C82094,LLR,LE4 0QR,2013
C82095,LLR,LE12 7JU,2016
C82096,LLR,LE67 2BS,2015
C82097,LLR,LE12 7DJ,2013
C82098,LLR,LE8 4DN,2015
C82099,LLR,LE2 1DJ,2015
C82102,LLR,LE12 9UJ,2015
C82103,LLR,LE11 4RZ,2014
C82107,LLR,LE4 6AW,2013
C82108,LLR,LE18 2EW,2015
C82109,LLR,LE17 6PU,2014
C82112,LLR,LE2 4NW,2015
C82114,LLR,LE3 0QD,2013
C82116,LLR,LE2 ONN,2015
C82119,LLR,LE3 0PE,2015
C82120,LLR,LE67 5HX,2018
C82121,LLR,LE9 7PB,2014
C82122,LLR,LE2 3AG,2014
C82124,LLR,LE2 1XD,2013
C82600,LLR,LE12 7RD,2016
C82610,LLR,LE3 9PW,2012
C82611,LLR,LE17 4EB,2014
C82614,LLR,LE2 6FQ,2013
C82620,LLR,LE3 0AA,2012
C82623,LLR,LE4 1EF,2013
C82624,LLR,LE4 0UZ,2013
C82627,LLR,LE4 8NN,2013
C82631,LLR,LE19 4LY,2015
C82634,LLR,LE6 0JP,2015
C82639,LLR,LE3 0LP,2012
C82642,LLR,LE5 3GH,2013
C82643,LLR,LE2 OGU,2013
C82644,LLR,LE12 7UD,2013
C82650,LLR,LE9 9GR,2014
C82651,LLR,LE4 6NF,2012
C82653,LLR,LE3 0QR,2013
C82656,LLR,LE12 9AL,2014
C82659,LLR,LE2 0TA,2013
C82660,LLR,LE2 0TA,2013
C82662,LLR,LE2 7LE,2013
C82667,LLR,LE5 3GH,2013
C82669,LLR,LE2 8PR,2015
C82671,LLR,LE4 6AW,2013
C82678,LLR,LE4 8EA,2013
C82680,LLR,LE4 7ZX,2013
K83003,Northamptonshire,NN2 6LS,2017
K83008,Northamptonshire,NN2 8LL,2017
K83009,Northamptonshire,NN3 7QP,2017
K83011,Northamptonshire,NN8 4UT,2018
K83013,Northamptonshire,NN16 8DN,2018
K83014,Northamptonshire,NN2 6AL,2017
K83015,Northamptonshire,NN11 4DY,2018
K83020,Northamptonshire,NN3 8HZ,2017
K83021,Northamptonshire,NN14 6JQ,2018
K83022,Northamptonshire,NN12 6HH,2018
K83026,Northamptonshire,NN8 4RW,2017
K83032,Northamptonshire,NN11 4FE,2018
K83035,Northamptonshire,NN2 7JN,2017
K83036,Northamptonshire,NN15 7NX,2018
K83037,Northamptonshire,NN15 5PU,2018
K83039,Northamptonshire,NN16 8JZ,2018
K83040,Northamptonshire,NN3 8AW,2017
K83041,Northamptonshire,NN5 6FR,2017
K83042,Northamptonshire,NN3 2HZ,2017
K83043,Northamptonshire,NN2 7AL,2017
K83047,Northamptonshire,NN8 1LT,2018
K83050,Northamptonshire,NN1 4SB,2017
K83051,Northamptonshire,NN16 8DN,2018
K83053,Northamptonshire,NN6 7TT,2018
K83055,Northamptonshire,NN4 6LW,2018
K83056,Northamptonshire,NN1 4QA,2017
K83059,Northamptonshire,NN18 0QP,2018
K83066,Northamptonshire,NN12 8BL,2018
K83077,Northamptonshire,NN2 7PB,2017
K83079,Northamptonshire,NN29 7QS,2018
K83081,Northamptonshire,NN9 5LJ,2018
K83610,Northamptonshire,NN4 0NY,2017
K83620,Northamptonshire,NN12 6HD,2018
K83621,Northamptonshire,NN1 1LG,2017
Y00028,Northamptonshire,NN5 7LN,2017
Y00137,LLR,LE5 4LJ,2017
Y00252,LLR,LE12 8RY,2014
Y00280,LLR,LE4 5LJ,2017
Y02469,LLR,LE5 3GH,2014
Y02686,LLR,LE1 6AS,2013
Y03587,LLR,LE3 0LP,2013
