,practice_code,ccg,post_code,year,x,y
0,C82001,LLR,LE8 0LG,2015,-0.997314407688411,52.5359503404582
1,C82002,LLR,LE8 5QJ,2015,-1.13643391263968,52.5546583803609
2,C82003,LLR,LE4 3JF,2016,-1.12853990353815,52.6805507290333
3,C82005,LLR,LE3 9ED,2018,-1.15046853179559,52.6443365764907
4,C82008,LLR,LE3 8NF,2013,-1.19670503391856,52.639984170301
5,C82009,LLR,LE16 9BX,2014,-0.926092125298056,52.4766201362089
6,C82010,LLR,LE15 6NT,2014,-0.736429725,52.6709719
7,C82011,LLR,LE11 1DQ,2014,-1.2032833568516,52.7715589597937
8,C82012,LLR,LE67 6JP,2014,-1.4020419,52.6849032
9,C82013,LLR,LE18 2EW,2015,-1.1169208862243,52.5832828029124
10,C82014,LLR,LE65 2LT,2018,-1.48673944650958,52.7497141919408
11,C82016,LLR,LE14 4PA,2014,-0.9240046,52.8388658
12,C82017,LLR,DE12 7HR,2017,-1.50859223619131,52.7048493576632
13,C82018,LLR,LE4 0JF,2013,-1.14182549661934,52.6581379000455
14,C82019,LLR,LE2 9BU,2012,-1.14605594427778,52.5912486768925
15,C82020,LLR,LE2 7HX,2013,-1.14119979587889,52.628582261749
16,C82021,LLR,LE2 5AA,2015,-1.08220429610732,52.5989763180274
17,C82024,LLR,LE5 3HX,2013,-1.10921194380677,52.6373811007047
18,C82025,LLR,LE17 4EB,2014,-1.19801604569106,52.4573235882407
19,C82026,LLR,LE11 1NQ,2014,-1.20716693188178,52.7748212732904
20,C82027,LLR,LE9 4LJ,2017,-1.2818923,52.5474101
21,C82028,LLR,LE67 9WU,2013,-1.2734121518438,52.6839682469054
22,C82029,LLR,LE5 2NL,2012,-1.04853317410078,52.6375118350323
23,C82030,LLR,LE5 6LP,2012,-1.06441257981822,52.6248922016291
24,C82031,LLR,LE2 0AS,2013,-1.11439023474822,52.6363411072236
25,C82032,LLR,LE7 7AZ,2016,-1.1871863240426,52.6727594776547
26,C82033,LLR,LE5 0PR,2014,-1.08567061179248,52.6451270696686
27,C82034,LLR,LE12 8BP,2016,-1.16555185496524,52.7455978642697
28,C82036,LLR,LE8 0LN,2015,-0.993998463970286,52.5378281408432
